FileName,Sentences,Label,text
Ses01F_impro01_F000,Excuse me.,neu,EXCUSE ME .
Ses01F_impro01_F001,Yeah.,neu,YEAH .
Ses01F_impro01_F002,Is there a problem?,neu,IS THERE A PROBLEM .
Ses01F_impro01_F005,Well what's the problem? Let me change it.,neu,WELL WHAT'S  THE PROBLEM LET ME CHANGE IT .
Ses01F_impro01_F012,That's out of control.,ang,THAT'S OUT OF CONTROL .
Ses01F_impro01_F014,"Clearly. You know, do you have like a supervisor or something?",neu,CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING .
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,ang,I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID .
Ses01F_impro01_M013,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,ang,YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK .
Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad,DID YOU GET THE MAIL SO YOU SAW MY LETTER .
Ses01F_impro02_F001,Yeah. I know.,sad,YEAH I KNOW .
Ses01F_impro02_F002,I don't know. I put in that. request too. They didn't...,sad,I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T .
Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neu,I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES .
Ses01F_impro02_F004,"There's people that have given more though, you know?",sad,THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH . YOU KNOW .
Ses01F_impro02_F005,I know.,sad,I KNOW .
Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neu,THERE'S BABIES OVER THERE THOUGH  THAT NEED MOTHERS .
Ses01F_impro02_F008,"Just, you know, kicking myself.",sad,JUST YOU KNOW KICKING MYSELF .
Ses01F_impro02_F010,things just aren't what they seem.,sad,THINGS JUST AREN'T WHAT THEY SEEM .
Ses01F_impro02_F012,"If not me then, who?",sad,IF NOT ME THEN WHO .
Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad,YOU'LL VIDEOTAPE EVERYTHING YEAH .
Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad,MAYBE YOU . CAN . SEND IT TO ME LIKE . STREAM IT YEAH .
Ses01F_impro02_F015,Last month-- Yeah.,sad,LAST MONTH YEAH .
Ses01F_impro02_F016,I have to find sitters.,neu,I HAVE TO FIND SITTERS .
Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad,WE'VE GOT FRIENDS THAT'S WHY WE MOVED . HERE . HUH  BECAUSE THERE . IS A DAY CARE DOWN THE STREET .
Ses01F_impro02_F018,And your mother is close by.,neu,AND YOUR MOTHER IS CLOSE BY .
Ses01F_impro02_F019,I'll send you lots of letters.,sad,I'LL SEND YOU LOTS OF LETTERS .
Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad,AND I WANT LOTS AND LOTS AND LOTS OF PICTURES .
Ses01F_impro02_M001,"I don't understand. You've already done so much, I don't know why do you have to go back.",sad,I DON'T UNDERSTAND YOU'VE ALREADY DONE SO MUCH I DON'T KNOW WHY DO YOU HAVE TO GO BACK .
Ses01F_impro02_M005,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,sad,I DON'T KNOW HOW YOU CAN BE OKAY WITH THIS I DON'T KNOW WHY YOU'RE NOT . YOU'RE FINE WITH IT .
Ses01F_impro02_M009,I just don't see why it has to be you.,sad,I JUST DON'T SEE WHY IT HAS TO BE YOU .
Ses01F_impro02_M010,What am I going to do? Huh?,sad,WHAT AM I GOING TO DO HUH .
Ses01F_impro02_M011,Yeah.,sad,YEAH .
Ses01F_impro02_M012,Don't you guys have access to computers over there.,neu,DON'T YOU GUYS HAVE ACCESS TO COMPUTERS OVER THERE .
Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad,I JUST DON'T KNOW HOW I'M GOING TO DO IT WITHOUT YOU .
Ses01F_impro02_M014,I can't raise a baby by myself. How?,sad,I CAN'T RAISE A BABY BY MYSELF . HOW .
Ses01F_impro02_M015,I know.,neu,I KNOW .
Ses01F_impro03_F000,Well Vegas was awesome.,hap,WELL . VEGAS WAS AWESOME .
Ses01F_impro03_F001,"And, um, I got married.",hap,AND UM I GOT MARRIED .
Ses01F_impro03_F002,Yeah. In the old town part.,hap,YEAH  IN THE OLD TOWN PART .
Ses01F_impro03_F004,Um- Yes. It was very romantic.,hap,UM . YES . IT  WAS VERY ROMANTIC .
Ses01F_impro03_F005,It was at the slot machines.,hap,IT WAS AT THE SLOT MACHINES .
Ses01F_impro03_F006,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap,UHUH UHUH HE WON BIG AND HE AND HE REALIZED THAT THE ONLY THING THAT WOULD MAKE IT BETTER WAS  ME AS HIS BRIDE .
Ses01F_impro03_F008,"Yeah. Well. You know, because he's leaving the next day.",hap,YEAH . WELL . YOU KNOW BECAUSE HE'S LEAVING THE NEXT DAY .
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,hap,BUT WE'RE GOING TO HAVE A HONEYMOON CRUISE .
Ses01F_impro03_F010,Oh. I hadn't even thought about that.,hap,OH . I HADN'T EVEN THOUGHT ABOUT THAT .
Ses01F_impro03_F012,Oh. Totally.,hap,OH TOTALLY .
Ses01F_impro03_F013,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],hap,I GUESS I'LL I GUESS I'LL HAVE AN INTERNET HUSBAND  {LG} .
Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",exc,YEAH . SO . {LG} . HE'S CALLING ME NOW .
Ses01F_impro03_F016,"He likes to keep tabs, you know.",hap,HE LIKES TO KEEP TABS . YOU KNOW .
Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neu,UH . I  THINK SEVEN HUNDRED AND FIFTY DOLLARS .
Ses01F_impro03_F018,Penny slots. That's what he plays.,neu,PENNY SLOTS  THAT'S WHAT HE PLAYS .
Ses01F_impro03_F019,Yeah.,neu,YEAH .
Ses01F_impro03_F021,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,hap,YEAH . WE PLAYED WHEEL OF FORTUNE PENNIES . IT'S LIKE A GIANT THING WITH LIKE .
Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neu,FIFTY BUCKS MMHMM .
Ses01F_impro03_F023,Yeah.,neu,YEAH .
Ses01F_impro03_F024,Well so now we're married. We have cat children.,hap,WELL SO NOW WE'RE MARRIED  WE  HAVE CAT CHILDREN .
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",hap,WE RENAMED BRENDA  LUMBER JANET .
Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],hap,SHE NEEDS A NEW NAME EACH STATE THAT WE GO INTO  {LG} .
Ses01F_impro03_M000,So what's up? What's new?,neu,SO WHAT'S UP WHAT'S NEW .
Ses01F_impro03_M001,Yeah. I heard.,neu,YEAH I HEARD .
Ses01F_impro03_M003,Who did you marry?,exc,WHO DID YOU  MARRY .
Ses01F_impro03_M006,He turned to you and was like...,neu,HE TURNED TO YOU AND WAS LIKE .
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,hap,{LG} THAT'S REALLY ROMANTIC .
Ses01F_impro03_M008,Yeah.,neu,YEAH .
Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu,DOES THAT MEAN THAT YOU'RE GOING TO GET CITIZENSHIP TOO IN . IN ENGLAND OR  WHATEVER .
Ses01F_impro03_M011,Yeah. But he'll have like a long visa. Can you go visit then for a long time?,neu,YEAH BUT HE'LL HAVE LIKE A LONG VISA . CAN YOU GO VISIT THEN FOR A LONG TIME .
Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],hap,LIKE YOU NEED ANOTHER ONE OF THOSE {LG} .
Ses01F_impro03_M014,Is that your phone?,hap,IS . THAT . YOUR PHONE .
Ses01F_impro03_M015,He loves you.,hap,HE LOVES YOU .
Ses01F_impro03_M016,How much did he win at the slot?,neu,HOW MUCH DID HE WIN AT THE SLOT .
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,neu,I'M A BIG FAN OF THE WHEEL OF FORTUNE QUARTERS  BUT IT JUST COSTS SO MUCH  I DON'T KNOW .
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu,BUT THE PENNIES ALWAYS GET YOU BECAUSE YOU END UP SPENDING LIKE YOU KNOW . FIFTY BUCKS .
