,FileName,Sentences,Label,text,AugmentedText
0,Ses01F_impro01_F000,Excuse me.,neu,EXCUSE ME .,Excuse me.
1,Ses01F_impro01_F001,Yeah.,neu,YEAH .,"Yes, it is."
2,Ses01F_impro01_F002,Is there a problem?,neu,IS THERE A PROBLEM .,Is there a problem?
3,Ses01F_impro01_F005,Well what's the problem? Let me change it.,neu,WELL WHAT'S  THE PROBLEM LET ME CHANGE IT .,"Well, what's the problem?"
4,Ses01F_impro01_F012,That's out of control.,ang,THAT'S OUT OF CONTROL .,That's out of control.
5,Ses01F_impro01_F014,"Clearly. You know, do you have like a supervisor or something?",neu,CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING .,"You know, do you have a superior or something?"
6,Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,ang,I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID .,I don't understand why this is so complicated for people when they get here.
7,Ses01F_impro01_M013,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,ang,YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK .,Do you want to see my superior?
8,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad,DID YOU GET THE MAIL SO YOU SAW MY LETTER .,"Did you get the mail, so you saw my letter?"
9,Ses01F_impro02_F001,Yeah. I know.,sad,YEAH I KNOW .,"Yeah, I know."
10,Ses01F_impro02_F002,I don't know. I put in that. request too. They didn't...,sad,I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T .,"I don't know, I asked for it, but they didn't..."
11,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neu,I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES .,I guess everyone has to make sacrifices.
12,Ses01F_impro02_F004,"There's people that have given more though, you know?",sad,THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH . YOU KNOW .,"There are people who gave more, you know?"
13,Ses01F_impro02_F005,I know.,sad,I KNOW .,I know.
14,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neu,THERE'S BABIES OVER THERE THOUGH  THAT NEED MOTHERS .,There are babies over there who need mothers.
15,Ses01F_impro02_F008,"Just, you know, kicking myself.",sad,JUST YOU KNOW KICKING MYSELF .,"You know, I'm kicking myself."
16,Ses01F_impro02_F010,things just aren't what they seem.,sad,THINGS JUST AREN'T WHAT THEY SEEM .,Things just aren't what they seem.
17,Ses01F_impro02_F012,"If not me then, who?",sad,IF NOT ME THEN WHO .,"If not me, who then?"
18,Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad,YOU'LL VIDEOTAPE EVERYTHING YEAH .,"You're filming everything, right?"
19,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad,MAYBE YOU . CAN . SEND IT TO ME LIKE . STREAM IT YEAH .,"Maybe you can send it to me, how to stream, yeah?"
20,Ses01F_impro02_F015,Last month-- Yeah.,sad,LAST MONTH YEAH .,Last month... yeah.
21,Ses01F_impro02_F016,I have to find sitters.,neu,I HAVE TO FIND SITTERS .,I have to find a babysitter.
22,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad,WE'VE GOT FRIENDS THAT'S WHY WE MOVED . HERE . HUH  BECAUSE THERE . IS A DAY CARE DOWN THE STREET .,We have friends. That's why we moved here because there's a day care center.
23,Ses01F_impro02_F018,And your mother is close by.,neu,AND YOUR MOTHER IS CLOSE BY .,And your mother's nearby.
24,Ses01F_impro02_F019,I'll send you lots of letters.,sad,I'LL SEND YOU LOTS OF LETTERS .,I'll send you a lot of letters.
25,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad,AND I WANT LOTS AND LOTS AND LOTS OF PICTURES .,And I want many and many pictures.
26,Ses01F_impro02_M001,"I don't understand. You've already done so much, I don't know why do you have to go back.",sad,I DON'T UNDERSTAND YOU'VE ALREADY DONE SO MUCH I DON'T KNOW WHY DO YOU HAVE TO GO BACK .,"You've done so much already, I don't know why you have to go back."
27,Ses01F_impro02_M005,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,sad,I DON'T KNOW HOW YOU CAN BE OKAY WITH THIS I DON'T KNOW WHY YOU'RE NOT . YOU'RE FINE WITH IT .,I don't know why you're not... you're okay with it.
28,Ses01F_impro02_M009,I just don't see why it has to be you.,sad,I JUST DON'T SEE WHY IT HAS TO BE YOU .,I just don't understand why you have to be.
29,Ses01F_impro02_M010,What am I going to do? Huh?,sad,WHAT AM I GOING TO DO HUH .,What do you want me to do?
30,Ses01F_impro02_M011,Yeah.,sad,YEAH .,That's right.
31,Ses01F_impro02_M012,Don't you guys have access to computers over there.,neu,DON'T YOU GUYS HAVE ACCESS TO COMPUTERS OVER THERE .,Don't you have access to computers over there?
32,Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad,I JUST DON'T KNOW HOW I'M GOING TO DO IT WITHOUT YOU .,I just don't know how to do it without you.
33,Ses01F_impro02_M014,I can't raise a baby by myself. How?,sad,I CAN'T RAISE A BABY BY MYSELF . HOW .,I can't raise a baby alone.
34,Ses01F_impro02_M015,I know.,neu,I KNOW .,I know.
35,Ses01F_impro03_F000,Well Vegas was awesome.,hap,WELL . VEGAS WAS AWESOME .,"Well, Vegas was fantastic."
36,Ses01F_impro03_F001,"And, um, I got married.",hap,AND UM I GOT MARRIED .,And I got married.
37,Ses01F_impro03_F002,Yeah. In the old town part.,hap,YEAH  IN THE OLD TOWN PART .,"Yes, in the old part of town."
38,Ses01F_impro03_F004,Um- Yes. It was very romantic.,hap,UM . YES . IT  WAS VERY ROMANTIC .,"Yeah, it was very romantic."
39,Ses01F_impro03_F005,It was at the slot machines.,hap,IT WAS AT THE SLOT MACHINES .,It was on the slot machines.
